Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Chen D., Chang N., Xiao J., Zhou Q., Wu W.","57193274398;57196353911;8530104100;22235963800;55707483300;","Mapping dynamics of soil organic matter in croplands with MODIS data and machine learning algorithms",2019,"Science of the Total Environment","669",,,"844","855",,46,"10.1016/j.scitotenv.2019.03.151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062969336&doi=10.1016%2fj.scitotenv.2019.03.151&partnerID=40&md5=51cbe160c5477f79dc17e5cab0746c6b","As an important indicator of soil quality, soil organic matter (SOM) significantly contributes to land productivity and ecosystem health. Accurately mapping SOM at regional scales is of critical importance for sustainable agriculture and soil utilization management and remains a grand challenge. Many studies used soil sampling data and machine learning algorithms to predict SOM at regional scales for a given year, while few studies mapped SOM for multiple years and examined its temporal dynamics. We compared the performance of four machine learning algorithms: decision tree (DT), bagging decision tree (BDT), random forest (RF), and gradient boosting regression trees (GBRT) in mapping SOM in Hubei province, China over the 18-year period from 2000 to 2017. Our results showed that RF and DT had the highest coefficient of determination (R 2 ) (0.61) and the lowest potential bias (9.48 g/kg), respectively, while GBRT had the lowest mean error (ME) (1.26 g/kg), root mean squared error (RMSE) (5.41 g/kg) and Lin's concordance correlation coefficient (LCCC) (0.72). The SOM map based on GBRT better captured the distribution of the soil sample data than that based on RF. The trained GBRT model and the spatially explicitly data on explanatory variables (e.g., climate, terrain, remote sensing) were used to predict SOM for each 500 m × 500 m grid cell in Hubei for the period from 2000 to 2017. Our results showed that the SOM content of cropland was relatively high in the southeast and relatively low in the north. The SOM content in the topsoil varied from 0.89 to 58.86 g/kg and was averaged at 20.52 g/kg. The mean cropland SOM content of the province exhibited an increasing trend from 2000 to 2017 with an increase of 0. 26 g/kg and a growth rate of 1.28%. Spatially, the SOM content increased in southern Hubei and decreased in central and northern parts of the province. A large portion of the areas with decreasing SOM content in northern Hubei was reclaimed cropland, while a large part of the high-quality cropland with rising SOM content in the east (~0.45 × 10 4 ha) was lost due to land use change (e.g., urbanization). © 2019 Elsevier B.V.","Cropland; Digital soil mapping; Machine learning algorithms; MODIS; Multi-year; Soil organic carbon","Adaptive boosting; Agriculture; Biogeochemistry; Biological materials; Climate models; Data mining; Decision trees; Ecosystems; Land use; Learning systems; Mapping; Mean square error; Organic carbon; Radiometers; Remote sensing; Soil surveys; Soils; Cropland; Digital soil mappings; MODIS; Multi-year; Soil organic carbon; Machine learning; soil organic matter; agricultural land; algorithm; digital mapping; machine learning; MODIS; soil carbon; soil organic matter; Article; bagging decision tree; China; climate; correlation coefficient; cropland; decision tree; gradient boosting regression tree; land use; machine learning; measurement error; priority journal; random forest; remote sensing; satellite imagery; soil analysis; soil chemistry; China; Hubei","English",Article,"Final","",Scopus,2-s2.0-85062969336
"Huang J., Hartemink A.E., Zhang Y.","55949162400;7003293119;57203831303;","Climate and land-use change effects on soil carbon stocks over 150 years in Wisconsin, USA",2019,"Remote Sensing","11","12","1504","","",,15,"10.3390/rs11121504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068193483&doi=10.3390%2frs11121504&partnerID=40&md5=e1427669db19fb8e31030c766d80a364","Soil organic carbon is a sink for mitigating increased atmospheric carbon. The international initiative ""4 per 1000"" aims at implementing practical actions on increasing soil carbon storage in soils under agriculture. This requires a fundamental understanding of the soil carbon changes across the globe. Several studies have suggested that the global soil organic carbon stocks (SOCS) have decreased due to global warming and land cover change, while others reported SOCS may increase under climate change and improved soil management. To better understand how a changing climate, land cover, and agricultural activities influence SOCS across large extents and long periods, the spatial and temporal variations of SOCS were estimated using a modified space-for-time substitution method over a 150-year period in the state of Wisconsin, USA. We used legacy soil datasets and environmental factors collected and estimated at different times across the state (169,639 km2) coupled with a machine-learning algorithm. The legacy soil datasets were collected from 1980 to 2002 from 550 soil profiles and harmonized to 0.30 m depth. The environmental factors consisted of 100-m soil property maps, 1-km annual temperature and precipitation maps, 250-m remote-sensing (i.e., Landsat)-derived yearly land cover maps and a 30-m digital elevation model. The model performance was moderate but can provide insights on understanding the impacts of different factors on SOCS changes across a large spatial and temporal extent. SOCS at the 0-0.30 m decreased at a rate of 0.1 ton ha-1 year-1 between 1850 and 1938 and increased at 0.2 ton ha-1 year-1 between 1980 and 2002. The spatial variation in SOCS at 0-0.30 m was mainly affected by land cover and soil types with the largest SOCS found in forest and wetland and Spodosols. The loss between 1850 and 1980 was most likely due to land cover change while the increase between 1980 and 2002 was due to best soil management practices (e.g., decreased erosion, reduced tillage, crop rotation and use of legume and cover crops). © 2019 by the authors.","4 per 1000; Best management practice; Carbon pool; Carbon sink; Climate change; Industrial revolution","Agronomy; Climate change; Crops; Forestry; Global warming; Land use; Learning algorithms; Machine learning; Organic carbon; Remote sensing; 4 per 1000; Best management practices; Carbon pool; Carbon sink; Industrial revolutions; Soils","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85068193483
"Laamrani A., Berg A.A., Voroney P., Feilhauer H., Blackburn L., March M., Dao P.D., He Y., Martin R.C.","47261329700;57211903687;7004239094;24773098100;57188867655;57209329653;56659285100;8635513600;7501381549;","Ensemble identification of spectral bands related to soil organic carbon levels over an agricultural field in southern Ontario, Canada",2019,"Remote Sensing","11","11","1298","","",,17,"10.3390/rs11111298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067419006&doi=10.3390%2frs11111298&partnerID=40&md5=5aafeecf0dd9330375879d8f85b7e747","The recent use of hyperspectral remote sensing imagery has introduced new opportunities for soil organic carbon (SOC) assessment and monitoring. These data enable monitoring of a wide variety of soil properties but pose important methodological challenges. Highly correlated hyperspectral spectral bands can affect the prediction and accuracy as well as the interpretability of the retrieval model. Therefore, the spectral dimension needs to be reduced through a selection of specific spectral bands or regions that are most helpful to describing SOC. This study evaluates the efficiency of visible near-infrared (VNIR) and shortwave near-infrared (SWIR) hyperspectral data to identify the most informative hyperspectral bands responding to SOC content in agricultural soils. Soil samples (111) were collected over an agricultural field in southern Ontario, Canada and analyzed against two hyperspectral datasets: An airborne Nano-Hyperspec imaging sensor with 270 bands (400-1000 nm) and a laboratory hyperspectral dataset (ASD FieldSpec 3) along the 1000-2500 nm range (NIR-SWIR). In parallel, a multimethod modeling approach consisting of random forest, support vector machine, and partial least squares regression models was used to conduct band selections and to assess the validity of the selected bands. The multimethod model resulted in a selection of optimal band or regions over the VNIR and SWIR sensitive to SOC and potentially for mapping. The bands that achieved the highest respective importance values were 711-715, 727, 986-998, and 433-435 nm regions (VNIR); and 2365-2373, 2481-2500, and 2198-2206 nm (NIR-SWIR). Some of these bands are in agreement with the absorption features of SOC reported in the literature, whereas others have not been reported before. Ultimately, the selection of optimal band and regions is of importance for quantification of agricultural SOC and would provide a new framework for creating optimized SOC-specific sensors. © 2019 by the authors.","Agricultural soils; Airborne hyperspectral imaging; Feature selection; Hyperspectral; Imaging spectroscopy; Multimethod modeling approach; Remote sensing; Unmanned aerial vehicle (UAV)","Agriculture; Decision trees; Feature extraction; Infrared devices; Infrared radiation; Least squares approximations; Monitoring; Organic carbon; Regression analysis; Remote sensing; Soils; Spectroscopy; Unmanned aerial vehicles (UAV); Agricultural soils; Airborne hyperspectral imaging; HyperSpectral; Imaging spectroscopy; Model approach; Hyperspectral imaging","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85067419006
"Mohamed E.S., Abu-hashim M., AbdelRahman M.A., Schütt B., Lasaponara R.","55418870300;56811462100;57031578400;7006540076;6603298083;","Evaluating the effects of human activity over the last decades on the soil organic carbon pool using satellite imagery and GIS techniques in the Nile Delta area, Egypt",2019,"Sustainability (Switzerland)","11","9","2644","","",,20,"10.3390/su11092644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067072251&doi=10.3390%2fsu11092644&partnerID=40&md5=920e8d4a111168d49f2594247afdd48f","The study aims to clarify the relationship between soil organic carbon (SOC) and human activity under arid conditions, in the east area of the Nile Delta, Egypt. SOC is one of the critical factors in food production and plays an important role in the climate change because it affects the physio-chemical soil characteristics, plant growth, and contributes to sustainable development on global levels. For the purpose of our investigations, 120 soil samples (0-30 cm) were collected throughout different land uses and soil types of the study area. Multiple linear regressions (MLR) were used to investigate the spatiotemporal relationship of SOC, soil characteristics, and environmental factors. Remote sensing data acquired from Landsat 5 TM in July 1995 and operational land imager (OLI) in July 2018 were used to model SOC pool. The results revealed significant variations of soil organic carbon pool (SOCP) among different soil textures and land-uses. Soil with high clay content revealed an increase in the percentage of soil organic carbon, and had mean SOCP of 6.08 ± 1.91 Mg C ha-1, followed by clay loams and loamy soils. The higher values of SOCP were observed in the northern regions of the study area. The phenomenon is associated with the expansion of the human activity of initiating fish ponds that reflected higher values of SOC that were related to the organic additions used as nutrients for fish. Nevertheless, the SOC values decreased in southeast of the study area with the decrease of soil moisture contents and the increase in the heavy texture profiles. As a whole, our findings pointed out that the human factor has had a significant impact on the variation of soil organic carbon values in the Eastern Nile Delta from 1995 to 2018. As land use changes from agricultural activity to fish ponds, the SOCP significantly increased. The agriculture land-use revealed higher SOCP with 60.77 Mg C ha-1 in clay soils followed by fish ponds with 53.43 Mg C ha-1. The results also showed a decrease in SOCP values due to an increasing in land surface temperature (LST) thus highlighting that influence of temperature and ambient soil conditions linked to land-use changes have a marked impact on surface SOCP and C sequestration. © 2019 by the authors.","GIS; Land use/land cover; Remote sensing indices; Spatiotemporal Evaluation","climate change; GIS; human activity; land cover; land use change; Landsat; remote sensing; satellite imagery; soil carbon; soil organic matter; spatiotemporal analysis; Egypt; Nile Delta","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85067072251
"Crucil G., Castaldi F., Aldana-Jague E., van Wesemael B., Macdonald A., Oost K.","55233651800;36838053400;56030825200;56888870100;35568983900;57213353924;","Assessing the performance of UAS-Compatible multispectral and hyperspectral sensors for soil organic carbon prediction",2019,"Sustainability (Switzerland)","11","7","1889","","",,19,"10.3390/su11071889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064086655&doi=10.3390%2fsu11071889&partnerID=40&md5=d75ad7e276f3672f8e13dfd82d08f29f","Laboratory spectroscopy has proved its reliability for estimating soil organic carbon (SOC) by exploiting the relationship between electromagnetic radiation and key spectral features of organic carbon located in the VIS-NIR-SWIR (350-2500 nm) region. While this approach provides SOC estimates at specific sampling points, geo-statistical or interpolation techniques are required to infer continuous spatial information. UAS-based proximal or remote sensing has the potential to provide detailed and spatially explicit spectral sampling of the topsoil at the field or even watershed scale. However, the factors affecting the quality of spectral acquisition under outdoor conditions need to be considered. In this study, we investigate the capabilities of two portable hyperspectral sensors (STS-VIS and STS-NIR), and two small-form multispectral cameras with narrow bands in the VIS-NIR region (Parrot Sequoia and Mini-MCA6), to predict SOC content. We collected spectral data under both controlled laboratory and outdoor conditions, with the latter being affected by variable illumination and atmospheric conditions and sensor-sample distance. We also analysed the transferability of the prediction models between different measurement setups by aligning spectra acquired under different conditions (laboratory and outdoor) or by different instruments. Our results indicate that UAS-compatible small-form sensors can be used to reliably estimate SOC. The results show that: (i) the best performance for SOC estimation under outdoor conditions was obtained using the VIS-NIR range, while the addition of the SWIR region decreased the prediction accuracy; (ii) prediction models using only the narrow bands of multispectral cameras gave similar or better performances than those using continuous spectra from the STS hyperspectral sensors; and (iii) when used in outdoor conditions, the micro hyperspectral sensors substantially benefitted from a laboratory model calibration followed by a spectral transfer using an internal soil standard. Based on this analysis, we recommend VIS-NIR portable instruments for estimating spatially distributed SOC data. The integration of these sensors in UAS-mapping devices could represent a cost-effective solution for soil research and precision farming applications when high resolution data are required. © 2019 by the authors.","Hyperspectral sensors; Multispectral sensors; Precision agriculture; Proximal sensing; Soil organic carbon","assessment method; detection method; equipment; estimation method; instrumentation; organic carbon; precision agriculture; prediction; remote sensing; satellite data; satellite sensor; soil carbon; topsoil; watershed; Psittacidae","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85064086655
"Bhunia G.S., Kumar Shit P., Pourghasemi H.R.","36058362100;55656711000;55253664900;","Soil organic carbon mapping using remote sensing techniques and multivariate regression model",2019,"Geocarto International","34","2",,"215","226",,27,"10.1080/10106049.2017.1381179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030171501&doi=10.1080%2f10106049.2017.1381179&partnerID=40&md5=7780c1b33af4f6249755ed95f3be94ad","Soil organic carbon (SOC) is an important aspect of soil quality and plays an imperative role in soil productivity in the agriculture ecosystems. The present study was applied to estimate the SOC stock using space-borne satellite data (Landsat 4–5 Thematic Mapper [TM]) and ground verification in the Medinipur Block, Paschim Medinipur District and West Bengal in India. In total, 50 soil samples were collected randomly from the region according to field surveys using a hand-held Global Positioning System (GPS) unit to estimate the surface SOC concentrations in the laboratory. Bare soil index (BSI) and normalized difference vegetation ndex (NDVI) were explored from TM data. The satellite data-derived indices were used to estimate spatial distribution of SOC using multivariate regression model. The regression analysis was performed to determine the relationship between SOC and spectral indices (NDVI and BSI) and compared the observed SOC (field measure) to predict SOC (estimated from satellite images). Goodness fit test was performed to determine the significance of the relationship between observed and predicted SOC at p ≤ 0.05 level. The results of regression analysis between observed SOC and NDVI values showed significant relationship (R2 = 0.54; p &lt; 0.0075). A significant statistical relationship (r = −0.72) was also observed between SOC and BSI. Finally, our model showed nearly 71% of the variance of SOC distribution could be explained by SOC and NDVI values. The information from this study has advanced our understanding of the ongoing ecological development that affects SOC dissemination and might be valuable for effective soil management. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group.","bare soil index; normalized difference vegetation index, India; satellite data; Soil organic carbon","bare soil; mapping; multivariate analysis; NDVI; numerical model; organic carbon; regression analysis; remote sensing; satellite data; soil carbon; India; West Bengal; West Midnapore","English",Article,"Final","",Scopus,2-s2.0-85030171501
"Lagomasino D., Fatoyinbo T., Lee S., Feliciano E., Trettin C., Shapiro A., Mangora M.M.","55698016900;24777858900;35424216400;56221983900;55377275100;8624044500;12546068900;","Measuring mangrove carbon loss and gain in deltas",2019,"Environmental Research Letters","14","2","025002","","",,35,"10.1088/1748-9326/aaf0de","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063984532&doi=10.1088%2f1748-9326%2faaf0de&partnerID=40&md5=469a53b231a6826d9e9413842ac098fa","Demand for mangrove forest resources has led to a steady decline in mangrove area over the past century. Land conversions in the form of agriculture, aquaculture and urbanization account for much of the deforestation of mangrove wetlands. However, natural processes at the transition zone between land and ocean can also rapidly change mangrove spread. In this study, we applied a robust field-based carbon inventory and new structural and temporal remote sensing techniques to quantify the magnitude and change of mangrove carbon stocks in major deltas across Africa and Asia. From 2000-2016, approximately 1.6% (12 270 ha) of the total mangrove area within these deltas disappeared, primarily through erosion and conversion to agriculture. However, the rapid expansion of mangroves in some regions during this same period resulted in new forests that were taller and more carbon-dense than the deforested areas. Because of the rapid vertical growth rates and horizontal expansion, new mangrove forests were able to offset the total carbon losses of 5 332 843 Mg C by 44%. Each hectare of new mangrove forest accounted for ∼84% to ∼160% of the aboveground carbon for each hectare of mangrove forest lost, regardless of the net change in mangrove area. Our study highlights the significance of the natural dynamics of erosion and sedimentation on carbon loss and sequestration potential for mangroves over time. Areas of naturally regenerating mangroves will have a much larger carbon sequestration potential if the rate of mangrove deforestation of taller forests is curbed. © 2019 The Author(s). Published by IOP Publishing Ltd.","biomass; blue carbon; canopy height; deforestation; mangrove; TanDEM-X","Biomass; Carbon; Deforestation; Erosion; Expansion; Reforestation; Remote sensing; Above-ground carbons; Canopy heights; Carbon sequestration potential; Erosion and sedimentation; Horizontal expansion; mangrove; Remote sensing techniques; TanDEM-X; Plants (botany); aboveground biomass; carbon sequestration; deforestation; growth rate; mangrove; range expansion; TanDEM-X; transition zone; Africa; Asia; Rhizophoraceae","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85063984532
"Othman Y., Bataineh K., Al-Ajlouni M., Alsmairat N., Ayad J., Shiyab S., Al-Qarallah B., Hilaire R.S.","23489925600;57212502654;55549794500;36843630100;35290457200;24081057900;57193844794;55667141900;","Soilless culture: Management of growing substrate, water, nutrient, salinity, microorganism and product quality",2019,"Fresenius Environmental Bulletin","28","4 A",,"3249","3260",,20,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086823762&partnerID=40&md5=19f6771d9e257a43babab6bd0834bf98","The present article reviews the scientific literature on soilless culture and provided a critical examination of the micro-environmental factors that can affect horticultural crop growth and productivity, including, soilless substrate, fertigation solution, salinity, nutrient content and pH and plant-microorganism interaction. In addition, the role of precision agriculture such as, remote sensing in soilless system performance is reviewed. Soilless substrate source (organic and inorganic) and particle size can affect mineral content, oxygen level, salinity and pH of the nutrient solution, as well as the microorganism diversity and abundance. Organic substrates had more microorganism communities compared to inorganic substrates. Microorganism inoculation (e.g. fungi) of inorganic substrate to increase microorganism abundance is completely ineffective. However, environmentalists do not recommend the use of peat-based organic substrates because it leads to loss of soil organic carbon and destruction of wetlands. Agricultural demands for sustainable, environmental friendly soilless system highlights the benefits of using inorganic substrate (rock-wool and volcanic tuff) and the re-use of nutrient solution (closed systems) to avoid water and nutrient losses. Interestingly, biological control of root rot pathogens in closed soilless systems is more effective than open or conventional due to the lower variety of microorganism community in closed structures. However, substrate salinity is the main challenge in closed soilless systems. The use of salt-tolerance cultivars, large volume tanks to minimize electrical conductivity and pH changes and sub irrigation with low concentration nutrient solution are the main approaches to reduce salinity in growing substrates. Several precision agricultural techniques based on advanced sensing technologies such as smart irrigation systems and surface reflectance data from crop canopy may increase soilless system efficiency. These techniques are based on crop water demands, not fixed watering schedules and have the potential to optimize water and nutrient use efficiency. © 2019 Parlar Scientific Publications. All rights reserved.","Hydroponics; Irrigation systems; Nutrient solution; Pathogen; Remote sensing; Salt stress","abundance; crop production; horticulture; inoculation; irrigation system; microbial community; microorganism; nutrient use efficiency; precision agriculture; species diversity; substrate; water use efficiency; wetland; Fungi","English",Article,"Final","",Scopus,2-s2.0-85086823762
"Zhang Y., Guo L., Chen Y., Shi T., Luo M., Ju Q., Zhang H., Wang S.","57210822298;50661250400;36571499900;55349704100;57204914192;57207857692;57192172966;8365963700;","Prediction of soil organic carbon based on Landsat 8 monthly NDVI data for the Jianghan Plain in Hubei Province, China",2019,"Remote Sensing","11","14","1683","","",,39,"10.3390/rs11141683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071574866&doi=10.3390%2frs11141683&partnerID=40&md5=ec70a92bbd135ffa420d6d45b8fd18c2","High-precision maps of soil organic carbon (SOC) are beneficial for managing soil fertility and understanding the global carbon cycle. Digital soil mapping plays an important role in efficiently obtaining the spatial distribution of SOC, which contributes to precision agriculture. However, traditional soil-forming factors (i.e., terrain or climatic factors) have weak variability in low-relief areas, such as plains, and cannot reflect the spatial variation of soil attributes. Meanwhile, vegetation cover hinders the acquisition of the direct information of farmland soil. Thus, useful environmental variables should be utilized for SOC prediction and the digital mapping of such areas. SOC has an important effect on crop growth status, and remote sensing data can record the apparent spectral characteristics of crops. The normalized difference vegetation index (NDVI) is an important index reflecting crop growth and biomass. This study used NDVI time series data rather than traditional soil-forming factors to map SOC. Honghu City, located in the middle of the Jianghan Plain, was selected as the study region, and the NDVI time series data extracted from Landsat 8 were used as the auxiliary variables. SOC maps were estimated through stepwise linear regression (SLR), partial least squares regression (PLSR), support vector machine (SVM), and artificial neural network (ANN). Ordinary kriging (OK) was used as the reference model, while root mean square error of prediction (RMSEP) and coefficient of determination of prediction (R2 P) were used to evaluate the model performance. Results showed that SOC had a significant positive correlation in July and August (0.17, 0.29) and a significant negative correlation in January, April, and December (-0.23, -0.27, and -0.23) with NDVI time series data. The best model for SOC prediction was generated by ANN, with the lowest RMSEP of 3.718 and highest R2 P of 0.391, followed by SVM (RMSEP = 3.753, R2 P = 0.361) and PLSR (RMSEP = 4.087, R2 P = 0.283). The SLR model was the worst model, with the lowest R2 P of 0.281 and highest RMSEP of 3.930. ANN and SVM were better than OK (RMSEP = 3.727, R2 P = 0.372), whereas PLSR and SLR were worse than OK. Moreover, the prediction results using single-data NDVI or short time series NDVI showed low accuracy. The effect of the terrain factor on SOC prediction represented unsatisfactory results. All these results indicated that the NDVI time series data can be used for SOC mapping in plain areas and that theANNmodel can maximally extract additional associated information between NDVI time series data and SOC. This study presented an effective method to overcome the selection of auxiliary variables for digital soil mapping in plain areas when the soil was covered with vegetation. This finding indicated that the time series characteristics of NDVI were conducive for predicting SOC in plains. © 2019 by the authors.","Digital soil mapping; Machine learning methods; NDVI time series; Prediction model; Soil organic carbon","Crops; Data mining; Forecasting; Forestry; Least squares approximations; Mapping; Mean square error; Neural networks; Organic carbon; Remote sensing; Soil surveys; Support vector machines; Time series; Vegetation; Digital soil mappings; Machine learning methods; NDVI time series; Prediction model; Soil organic carbon; Soils","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85071574866
"Zhu E., Deng J., Zhou M., Gan M., Jiang R., Wang K., Shahtahmassebi A.","57190731992;57220947691;57200388282;55303069800;57193331241;56203568900;38862827300;","Carbon emissions induced by land-use and land-cover change from 1970 to 2010 in Zhejiang, China",2019,"Science of the Total Environment","646",,,"930","939",,56,"10.1016/j.scitotenv.2018.07.317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050601998&doi=10.1016%2fj.scitotenv.2018.07.317&partnerID=40&md5=f9f51fae6ecf15486b187407f71f4737","Land-use and land-cover change (LUCC) is a crucial factor affecting carbon emissions. Zhejiang Province has witnessed unprecedented LUCC concomitant with rapid urbanization from 1970 to 2010. In this study, remote sensing, geographic information system (GIS) and the Intergovernmental Panel on Climate Change (IPCC) method were combined to quantify changes in both vegetation carbon storage and soil organic carbon (SOC) storage resulting from LUCC during 1970–1990 and 1990–2010. For both 1970–1990 and 1990–2010, the results showed successive decrease in farmlands (2.8 × 10 5 ha or −9.15% and 5.9 × 10 5 ha or −20.49%, respectively) and grasslands (3.4 × 10 4 ha or −10.73% and 1.5 × 10 5 ha or −54.1%, respectively), and continuous increase in forests (2.0 × 10 4 ha or 0.33% and 1.7 × 10 5 ha or 2.81%, respectively) and built-up lands (2.07 × 10 5 ha or 78.41% and 6.49 × 10 5 ha or 137.8%, respectively). From 1970 to 1990, approximately 8.3 Tg of the total carbon sink declined, including a 0.4 Tg reduction in vegetation carbon and a 7.9 Tg reduction in SOC. While from 1990 to 2010, approximately 17.5 Tg of carbon storage declined, comprising a 2.8 Tg of carbon accumulated by vegetation, and a 20.3 Tg reduction in SOC. Overall, LUCC has resulted in huge amount of carbon emissions in Zhejiang from 1970 to 2010. Efficient planning for LUCC and gradual mitigation of carbon emissions are indispensable for future urban development in China under increasing pressure from global warming. © 2018","Carbon emission; Global climate change; LUCC; SOC; Vegetation carbon","Global warming; Land use; Remote sensing; System-on-chip; Urban growth; Vegetation; Carbon emissions; Efficient planning; Global climate changes; Intergovernmental panel on climate changes; Land use and land cover change; LUCC; Rapid urbanizations; Soil organic carbon storages; Organic carbon; carbon; organic carbon; carbon; carbon emission; carbon sequestration; climate change; GIS; global climate; Intergovernmental Panel on Climate Change; land cover; land use change; remote sensing; soil carbon; agricultural land; Article; carbon footprint; carbon storage; China; climate change; forest; geographic information system; grassland; greenhouse effect; human; land cover change; land use; priority journal; remote sensing; urbanization; vegetation; agriculture; air pollution; analysis; environmental monitoring; forest; soil; statistics and numerical data; China; Zhejiang; Agriculture; Air Pollution; Carbon; China; Environmental Monitoring; Forests; Soil","English",Article,"Final","",Scopus,2-s2.0-85050601998
"Gholizadeh A., Žižala D., Saberioon M., Borůvka L.","35322496100;36998985000;55795699000;55910920600;","Soil organic carbon and texture retrieving and mapping using proximal, airborne and Sentinel-2 spectral imaging",2018,"Remote Sensing of Environment","218",,,"89","103",,157,"10.1016/j.rse.2018.09.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053836935&doi=10.1016%2fj.rse.2018.09.015&partnerID=40&md5=26c21702d4fb56fb7d2541b5f23594ef","Soil Organic Carbon (SOC) is a useful representative of soil fertility and an essential parameter in controlling the dynamics of various agrochemicals in soil. Soil texture is also used to calculate soil's ability to retain water for plant growth. SOC and soil texture are thus important parameters of agricultural soils and need to be regularly monitored. Optical satellite remote sensing offers the potential for frequent surveys over large areas. In addition, the recently-operated Sentinel-2 missions provide free imagery. This study compared the capabilities of Sentinel-2 for monitoring and mapping of SOC and soil texture (clay, silt and sand content) with those obtained from airborne hyperspectral (CASI/SASI sensors) and lab ASD FieldSpec spectroradiometer measurements at four agricultural sites in the Czech Republic. Combination of 10 extracted bands of the Sentinel-2 and 18 spectral indices, as independent variables, were used to train prediction models and then produce spatial distribution maps of the selected attributes. Results showed that the prediction accuracy based on lab spectroscopy, airborne and Sentinel-2 in the majority of the sites was adequate for SOC and fair for clay; however, Sentinel-2 imagery could not be used to detect and map variations in silt and sand. The SOC and clay maps derived from the airborne and spaceborne datasets showed similar trend, with both performing better where SOC levels were relatively high, though at the highest levels Sentinel-2 was able to create the SOC map more precisely than the airborne sensors. Taken across all SOC levels measured in the reference data, Sentinel-2 results were marginally lower than lab spectroscopy and airborne imagery, but this reduction in precision may be offset by the extensive geographical coverage and more frequent revisit characteristic of satellite observation. The increased temporal revisit and area are expected to be positive enhancements to the acquisition of high-quality information on variations in SOC and clay content of bare soils. © 2018 Elsevier Inc.","Agricultural soil; Digital soil mapping; Hyperspectral data; Spectroscopy; Superspectral sensor","Agricultural chemicals; Agriculture; Organic carbon; Remote sensing; Satellite imagery; Silt; Soil surveys; Spectroscopy; Agricultural soils; Digital soil mappings; Geographical coverage; High quality information; Hyperspectral Data; Independent variables; Satellite observations; Spatial distribution map; Photomapping; airborne sensing; arable land; data interpretation; geological mapping; organic carbon; satellite imagery; sensor; Sentinel; soil organic matter; soil texture; Czech Republic","English",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85053836935
